text_res_zip5,db_logid,count
66002,Atchison,8821
66002,Doniphan,108
66002,Jefferson,41
66002,Leavenworth,54
66006,Douglas,5038
66006,Franklin,82
66007,Leavenworth,6199
66007,Wyandotte,3
66008,Doniphan,175
66010,Anderson,1
66010,Bourbon,12
66010,Linn,375
66012,Leavenworth,1639
66012,Wyandotte,4473
66013,Johnson,852
66013,Miami,736
66014,Anderson,23
66014,Linn,270
66015,Allen,77
66015,Anderson,513
66016,Atchison,405
66017,Brown,5
66017,Doniphan,199
66018,Johnson,3842
66020,Leavenworth,1096
66021,Douglas,127
66021,Johnson,1486
66021,Miami,147
66023,Atchison,794
66024,Doniphan,650
66025,Douglas,4949
66025,Johnson,155
66026,Linn,152
66026,Miami,294
66027,Leavenworth,764
66030,Johnson,13625
66030,Miami,25
66032,Anderson,3361
66033,Anderson,440
66033,Franklin,78
66033,Linn,7
66035,Doniphan,745
66036,Miami,37
66038,Doniphan,2
66039,Allen,19
66039,Anderson,441
66039,Linn,4
66040,Linn,2240
66040,Miami,196
66041,Atchison,464
66041,Brown,6
66041,Doniphan,18
66042,Franklin,318
66042,Linn,16
66042,Miami,190
66043,Leavenworth,5515
66044,Douglas,16233
66044,Jefferson,440
66044,Leavenworth,428
66045,Douglas,673
66046,Douglas,12008
66047,Douglas,13397
66048,Leavenworth,20167
66049,Douglas,21974
66050,Douglas,1233
66050,Shawnee,56
66052,Leavenworth,1380
66053,Miami,5579
66054,Jefferson,1559
66054,Leavenworth,424
66056,Linn,1248
66058,Atchison,267
66058,Jackson,9
66060,Atchison,188
66060,Jefferson,520
66061,Johnson,38006
66062,Johnson,49674
66064,Franklin,43
66064,Linn,6
66064,Miami,3351
66066,Jefferson,1836
66067,Franklin,11055
66070,Jefferson,1891
66071,Miami,8757
66072,Anderson,4
66072,Linn,710
66072,Miami,19
66073,Jefferson,1661
66075,Linn,1440
66076,Franklin,1505
66078,Franklin,667
66079,Franklin,546
66079,Miami,16
66080,Anderson,101
66080,Franklin,608
66083,Johnson,3870
66083,Miami,3088
66085,Johnson,7074
66086,Jefferson,17
66086,Leavenworth,6433
66087,Doniphan,1359
66088,Atchison,18
66088,Jefferson,1610
66090,Doniphan,1484
66091,Anderson,252
66092,Douglas,295
66092,Franklin,2262
66092,Johnson,1
66092,Miami,296
66093,Anderson,245
66093,Coffey,120
66094,Brown,106
66094,Doniphan,145
66095,Anderson,19
66095,Coffey,6
66095,Franklin,608
66095,Osage,6
66097,Jefferson,710
66097,Leavenworth,26
66101,Wyandotte,4654
66102,Wyandotte,10830
66103,Wyandotte,6342
66104,Wyandotte,13502
66105,Wyandotte,677
66106,Wyandotte,11285
66109,Leavenworth,99
66109,Wyandotte,15880
66111,Wyandotte,4968
66112,Wyandotte,7407
66113,Wyandotte,545
66115,Wyandotte,2
66118,Wyandotte,4
66160,Wyandotte,1
66202,Johnson,12306
66203,Johnson,13052
66204,Johnson,12119
66205,Johnson,10565
66206,Johnson,8467
66207,Johnson,11210
66208,Johnson,17454
66209,Johnson,16275
66210,Johnson,13340
66211,Johnson,4003
66212,Johnson,22656
66213,Johnson,21608
66214,Johnson,7913
66215,Johnson,18146
66216,Johnson,18511
66216,Wyandotte,28
66217,Johnson,3928
66217,Wyandotte,27
66218,Johnson,5945
66219,Johnson,8760
66220,Johnson,6090
66221,Johnson,15321
66223,Johnson,15504
66224,Johnson,9779
66226,Johnson,9276
66227,Johnson,5178
66401,Geary,1
66401,Riley,2
66401,Wabaunsee,1247
66402,Osage,20
66402,Shawnee,1990
66403,Marshall,481
66403,Nemaha,33
66404,Marshall,9
66404,Nemaha,396
66406,Marshall,285
66407,Pottawatomie,204
66407,Wabaunsee,121
66408,Nemaha,347
66409,Douglas,139
66409,Osage,15
66409,Shawnee,2219
66411,Marshall,672
66411,Riley,30
66412,Marshall,188
66412,Washington,19
66413,Lyon,30
66413,Osage,1256
66413,Wabaunsee,11
66414,Osage,1816
66415,Nemaha,610
66416,Jackson,302
66416,Nemaha,10
66417,Nemaha,296
66418,Jackson,366
66419,Jackson,206
66419,Jefferson,24
66422,Jackson,69
66422,Pottawatomie,221
66423,Wabaunsee,589
66424,Atchison,81
66424,Brown,304
66425,Brown,305
66427,Marshall,886
66427,Pottawatomie,28
66428,Nemaha,287
66429,Jefferson,436
66431,Osage,6
66431,Shawnee,28
66431,Wabaunsee,409
66432,Jackson,32
66432,Nemaha,14
66432,Pottawatomie,228
66434,Brown,3043
66436,Atchison,105
66436,Jackson,3547
66436,Jefferson,10
66438,Marshall,204
66439,Atchison,147
66439,Brown,1375
66439,Jackson,11
66440,Jackson,1304
66441,Clay,2
66441,Dickinson,78
66441,Geary,13789
66441,Riley,1
66442,Geary,1431
66442,Riley,716
66449,Riley,545
66451,Osage,1291
66501,Wabaunsee,175
66502,Geary,43
66502,Pottawatomie,2613
66502,Riley,19870
66502,Wabaunsee,50
66503,Riley,10410
66506,Riley,537
66507,Wabaunsee,864
66508,Marshall,2633
66509,Jackson,1516
66510,Osage,544
66512,Jackson,76
66512,Jefferson,2141
66512,Shawnee,81
66514,Geary,1191
66515,Brown,306
66516,Brown,24
66516,Jackson,190
66517,Riley,795
66518,Marshall,108
66520,Pottawatomie,407
66521,Marshall,4
66521,Nemaha,34
66521,Pottawatomie,960
66522,Nemaha,34
66523,Lyon,25
66523,Osage,2511
66524,Douglas,385
66524,Franklin,24
66524,Osage,1383
66524,Shawnee,46
66526,Wabaunsee,555
66527,Brown,162
66528,Franklin,81
66528,Osage,532
66531,Riley,929
66532,Brown,312
66532,Doniphan,66
66533,Jackson,7
66533,Shawnee,1068
66534,Brown,100
66534,Nemaha,2363
66535,Pottawatomie,1817
66536,Jackson,18
66536,Pottawatomie,2411
66536,Shawnee,69
66536,Wabaunsee,6
66537,Osage,981
66538,Nemaha,2409
66539,Jackson,14
66539,Shawnee,1883
66540,Jackson,317
66540,Nemaha,29
66540,Pottawatomie,2
66541,Marshall,162
66542,Douglas,2
66542,Shawnee,2538
66543,Osage,564
66544,Marshall,223
66544,Nemaha,19
66545,Marshall,19
66546,Osage,36
66546,Shawnee,736
66547,Pottawatomie,5136
66547,Wabaunsee,242
66548,Marshall,608
66548,Riley,2
66548,Washington,1
66549,Pottawatomie,1049
66550,Brown,15
66550,Jackson,25
66550,Nemaha,335
66552,Jackson,275
66554,Riley,374
66603,Shawnee,616
66604,Shawnee,13976
66605,Shawnee,10832
66606,Shawnee,6667
66607,Shawnee,3494
66608,Shawnee,2516
66609,Shawnee,4380
66610,Shawnee,7395
66610,Wabaunsee,20
66611,Shawnee,6103
66612,Shawnee,1023
66614,Shawnee,20422
66614,Wabaunsee,17
66615,Shawnee,2209
66615,Wabaunsee,126
66616,Shawnee,3175
66617,Jackson,31
66617,Jefferson,235
66617,Shawnee,5809
66618,Jackson,35
66618,Shawnee,6620
66619,Shawnee,1509
66621,Shawnee,91
66622,Shawnee,3
66701,Bourbon,9799
66701,Crawford,19
66710,Wilson,390
66711,Bourbon,23
66711,Crawford,463
66712,Crawford,1326
66713,Cherokee,4434
66714,Wilson,125
66716,Allen,46
66716,Bourbon,345
66717,Wilson,282
66717,Woodson,7
66720,Allen,82
66720,Neosho,7459
66720,Wilson,226
66720,Woodson,5
66724,Cherokee,85
66724,Crawford,651
66725,Cherokee,4019
66727,Wilson,4
66728,Cherokee,36
66732,Allen,161
66733,Neosho,1605
66734,Crawford,266
66735,Crawford,333
66736,Elk,15
66736,Greenwood,4
66736,Montgomery,6
66736,Wilson,2048
66736,Woodson,1
66738,Bourbon,247
66738,Linn,23
66739,Cherokee,4154
66740,Neosho,282
66741,Bourbon,186
66742,Allen,322
66743,Crawford,3098
66746,Bourbon,23
66746,Crawford,153
66747,Bourbon,1
66748,Allen,1708
66748,Neosho,39
66748,Woodson,43
66749,Allen,4747
66749,Anderson,1
66749,Woodson,6
66751,Allen,464
66753,Cherokee,137
66753,Crawford,599
66753,Labette,32
66753,Neosho,10
66754,Bourbon,304
66754,Linn,16
66755,Allen,702
66755,Bourbon,34
66756,Crawford,693
66757,Montgomery,125
66757,Wilson,1718
66758,Allen,5
66758,Anderson,11
66758,Coffey,17
66758,Woodson,111
66759,Wilson,15
66760,Crawford,97
66761,Woodson,138
66762,Cherokee,232
66762,Crawford,15274
66763,Crawford,2438
66767,Linn,347
66769,Bourbon,383
66770,Cherokee,794
66771,Neosho,713
66772,Allen,175
66772,Bourbon,16
66772,Neosho,25
66773,Cherokee,575
66775,Bourbon,2
66775,Neosho,140
66776,Labette,17
66776,Neosho,773
66776,Wilson,84
66777,Greenwood,51
66777,Wilson,13
66777,Woodson,327
66779,Bourbon,468
66780,Bourbon,9
66780,Crawford,257
66780,Neosho,122
66781,Cherokee,917
66781,Crawford,62
66782,Cherokee,111
66783,Coffey,2
66783,Woodson,1522
66801,Chase,146
66801,Lyon,16235
66830,Lyon,188
66833,Lyon,396
66833,Wabaunsee,4
66834,Geary,126
66834,Morris,89
66834,Wabaunsee,438
66835,Lyon,844
66835,Morris,5
66838,Chase,9
66838,Marion,5
66838,Morris,106
66839,Coffey,2901
66840,Butler,181
66840,Chase,33
66840,Marion,176
66842,Butler,212
66843,Chase,139
66843,Marion,4
66845,Chase,729
66846,Chase,14
66846,Lyon,63
66846,Morris,2213
66846,Wabaunsee,2
